Reference:	"Kofman et al. (2019)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/ab0d89"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"90K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/206"
n₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	
0.3547	1.2736		
0.3541	1.2737		
0.3535	1.2738		
0.353	1.2738		
0.3524	1.2739		
0.3518	1.274		
0.3513	1.2741		
0.3507	1.2741		
0.3502	1.2742		
0.3496	1.2743		
0.349	1.2743		
0.3485	1.2744		
0.3479	1.2745		
0.3474	1.2745		
0.3468	1.2746		
0.3462	1.2747		
0.3457	1.2748		
0.3451	1.2748		
0.3445	1.2749		
0.344	1.275		
0.3434	1.2751		
0.3429	1.2751		
0.3423	1.2752		
0.3417	1.2753		
0.3412	1.2754		
0.3406	1.2754		
0.34	1.2755		
0.3395	1.2756		
0.3389	1.2757		
0.3384	1.2757		
0.3378	1.2758		
0.3372	1.2759		
0.3367	1.276		
0.3361	1.2761		
0.3356	1.2761		
0.335	1.2762		
0.3344	1.2763		
0.3339	1.2764		
0.3333	1.2765		
0.3327	1.2765		
0.3322	1.2766		
0.3316	1.2767		
0.3311	1.2768		
0.3305	1.2769		
0.3299	1.277		
0.3294	1.2771		
0.3288	1.2771		
0.3282	1.2772		
0.3277	1.2773		
0.3271	1.2774		
0.3266	1.2775		
0.326	1.2776		
0.3254	1.2777		
0.3249	1.2778		
0.3243	1.2778		
0.3238	1.2779		
0.3232	1.278		
0.3226	1.2781		
0.3221	1.2782		
0.3215	1.2783		
0.3209	1.2784		
0.3204	1.2785		
0.3198	1.2786		
0.3193	1.2787		
0.3187	1.2788		
0.3181	1.2789		
0.3176	1.279		
0.317	1.2791		
0.3164	1.2792		
0.3159	1.2793		
0.3153	1.2794		
0.3148	1.2795		
0.3142	1.2796		
0.3136	1.2797		
0.3131	1.2798		
0.3125	1.2799		
0.312	1.28		
0.3114	1.2801		
0.3108	1.2802		
0.3103	1.2803		
0.3097	1.2804		
0.3091	1.2805		
0.3086	1.2806		
0.308	1.2807		
0.3075	1.2809		
0.3069	1.281		
0.3063	1.2811		
0.3058	1.2812		
0.3052	1.2813		
0.3046	1.2814		
0.3041	1.2815		
0.3035	1.2816		
0.303	1.2818		
0.3024	1.2819		
0.3018	1.282		
0.3013	1.2821		
0.3007	1.2822		
0.3002	1.2823		
0.2996	1.2825		
0.299	1.2826		
0.2985	1.2827		
0.2979	1.2828		
0.2973	1.283		
0.2968	1.2831		
0.2962	1.2832		
0.2957	1.2833		
0.2951	1.2835		
0.2945	1.2836		
0.294	1.2837		
0.2934	1.2839		
0.2928	1.284		
0.2923	1.2841		
0.2917	1.2843		
0.2912	1.2844		
