Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/66"
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
616.999	-0.00205		
617.1195	-0.00233		
617.2401	-0.00256		
617.3606	-0.00273		
617.4811	-0.00284		
617.6017	-0.00289		
617.7222	-0.00289		
617.8427	-0.00286		
617.9633	-0.00282		
618.0838	-0.00277		
618.2043	-0.00272		
618.3248	-0.00266		
618.4454	-0.00259		
618.5659	-0.00253		
618.6864	-0.00247		
618.807	-0.00241		
618.9275	-0.00234		
619.048	-0.00224		
619.1686	-0.00208		
619.2891	-0.00183		
619.4096	-0.00149		
619.5302	-0.00111		
619.6507	-0.000728		
619.7712	-0.000425		
619.8918	-0.000261		
620.0123	-0.000267		
620.1328	-0.000431		
620.2533	-0.000703		
620.3739	-0.00101		
620.4944	-0.00127		
620.6149	-0.00143		
620.7355	-0.00146		
620.856	-0.00135		
620.9765	-0.00114		
621.0971	-0.000857		
621.2176	-0.000558		
621.3381	-0.000281		
621.4587	-6.4E-5		
621.5792	6.0E-5		
621.6997	7.0E-5		
621.8202	-3.6E-5		
621.9408	-0.000239		
622.0613	-0.000496		
622.1818	-0.000753		
622.3024	-0.000952		
622.4229	-0.00105		
622.5434	-0.00105		
622.664	-0.000956		
622.7845	-0.000823		
622.905	-0.000701		
623.0256	-0.00063		
623.1461	-0.000625		
623.2666	-0.000674		
623.3872	-0.000749		
623.5077	-0.000815		
623.6282	-0.000848		
623.7487	-0.000837		
623.8693	-0.00079		
623.9898	-0.000721		
624.1103	-0.000642		
624.2309	-0.00056		
624.3514	-0.000472		
624.4719	-0.000376		
624.5925	-0.00027		
624.713	-0.000161		
624.8335	-6.1E-5		
624.9541	1.9E-5		
625.0746	7.1E-5		
625.1951	9.7E-5		
625.3157	0.000108		
625.4362	0.000116		
625.5567	0.000128		
625.6772	0.000142		
625.7978	0.000146		
625.9183	0.000124		
626.0388	6.4E-5		
626.1594	-3.8E-5		
626.2799	-0.000172		
626.4004	-0.000316		
626.521	-0.000448		
626.6415	-0.000544		
626.762	-0.000592		
626.8826	-0.000592		
627.0031	-0.000552		
627.1236	-0.000486		
627.2442	-0.000402		
627.3647	-0.000305		
627.4852	-0.000191		
627.6057	-5.4E-5		
627.7263	0.000113		
627.8468	0.000309		
627.9673	0.000524		
628.0879	0.000738		
628.2084	0.000926		
628.3289	0.00106		
628.4495	0.00111		
628.57	0.00108		
628.6905	0.000956		
628.8111	0.000765		
628.9316	0.000538		
629.0521	0.00031		
629.1727	0.000118		
629.2932	-1.2E-5		
629.4137	-7.1E-5		
629.5342	-6.5E-5		
629.6548	-1.2E-5		
629.7753	6.0E-5		
629.8958	0.000122		
630.0164	0.000153		
630.1369	0.000141		
630.2574	8.3E-5		
630.378	-1.0E-5		
630.4985	-0.000123		
630.619	-0.000236		
630.7396	-0.000333		
630.8601	-0.000397		
630.9806	-0.000423		
631.1011	-0.000408		
631.2217	-0.000359		
631.3422	-0.00029		
631.4627	-0.000212		
631.5833	-0.000138		
631.7038	-6.9E-5		
631.8243	-3.0E-6		
631.9449	7.2E-5		
632.0654	0.00017		
632.1859	0.000299		
632.3065	0.000455		
632.427	0.00062		
632.5475	0.00076		
632.6681	0.000837		
632.7886	0.000819		
632.9091	0.000691		
633.0296	0.000465		
633.1502	0.000178		
633.2707	-0.000118		
633.3912	-0.000368		
633.5118	-0.000532		
633.6323	-0.000593		
633.7528	-0.000558		
633.8734	-0.000455		
633.9939	-0.000316		
634.1144	-0.000169		
634.235	-2.8E-5		
634.3555	0.000102		
634.476	0.000223		
634.5966	0.00033		
634.7171	0.000408		
634.8376	0.000435		
