Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH3 (1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/65"
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
587.3483	-0.00173		
587.4689	-0.00167		
587.5894	-0.00148		
587.7099	-0.00119		
587.8305	-0.000856		
587.951	-0.000502		
588.0715	-0.000153		
588.1921	0.000183		
588.3126	0.0005		
588.4331	0.000783		
588.5536	0.00101		
588.6742	0.00115		
588.7947	0.00117		
588.9152	0.00107		
589.0358	0.000884		
589.1563	0.000642		
589.2768	0.000398		
589.3974	0.000195		
589.5179	4.7E-5		
589.6384	-6.4E-5		
589.759	-0.000182		
589.8795	-0.000357		
590	-0.000633		
590.1206	-0.00102		
590.2411	-0.00151		
590.3616	-0.00205		
590.4821	-0.00258		
590.6027	-0.00305		
590.7232	-0.00342		
590.8437	-0.00367		
590.9643	-0.00379		
591.0848	-0.00377		
591.2053	-0.00362		
591.3259	-0.00333		
591.4464	-0.00291		
591.5669	-0.00238		
591.6875	-0.00179		
591.808	-0.00122		
591.9285	-0.000751		
592.0491	-0.000467		
592.1696	-0.000414		
592.2901	-0.000584		
592.4106	-0.000918		
592.5312	-0.00132		
592.6517	-0.0017		
592.7722	-0.00197		
592.8928	-0.0021		
593.0133	-0.00211		
593.1338	-0.00202		
593.2544	-0.0019		
593.3749	-0.00177		
593.4954	-0.00163		
593.616	-0.00148		
593.7365	-0.0013		
593.857	-0.00111		
593.9776	-0.000938		
594.0981	-0.000821		
594.2186	-0.000786		
594.3391	-0.000825		
594.4597	-0.00089		
594.5802	-0.000911		
594.7007	-0.000823		
594.8213	-0.000602		
594.9418	-0.000282		
595.0623	5.4E-5		
595.1829	0.0003		
595.3034	0.000377		
595.4239	0.000266		
595.5445	1.9E-5		
595.665	-0.00026		
595.7855	-0.000456		
595.906	-0.000487		
596.0266	-0.000333		
596.1471	-4.0E-5		
596.2676	0.000307		
596.3882	0.000619		
596.5087	0.000833		
596.6292	0.000927		
596.7498	0.000911		
596.8703	0.000804		
596.9908	0.000619		
597.1114	0.000353		
597.2319	0		
597.3524	-0.00043		
597.473	-0.000888		
597.5935	-0.0013		
597.714	-0.00158		
597.8345	-0.00165		
597.9551	-0.00152		
598.0756	-0.00122		
598.1961	-0.000846		
598.3167	-0.000499		
598.4372	-0.000259		
598.5577	-0.000151		
598.6783	-0.000153		
598.7988	-0.000211		
598.9193	-0.000273		
599.0399	-0.00031		
599.1604	-0.000325		
599.2809	-0.00034		
599.4015	-0.000374		
599.522	-0.000425		
