Reference:	"Hudson & Gerakines (2019)"
DOI:	"doi:doi:10.1093/mnras/sty2821"
Sample Type:	"Ice"
Composition:	"C3H2O (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/157"
n₁ Error Units:	Not Applicable
n₂ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"n₂"	"Dn₂  (+/-)"	
676.903	1.4667		0.075228		
677.144	1.4664		0.074966		
677.385	1.4664		0.074666		
677.626	1.4666		0.074413		
677.867	1.4669		0.074291		
678.108	1.4674		0.074349		
678.349	1.4678		0.074604		
678.59	1.4682		0.075028		
678.831	1.4685		0.075576		
679.073	1.4686		0.076188		
679.314	1.4687		0.076812		
679.555	1.4686		0.077403		
679.796	1.4684		0.077933		
680.037	1.4682		0.078378		
680.278	1.4679		0.078727		
680.519	1.4677		0.078979		
680.76	1.4676		0.079153		
681.001	1.4675		0.079289		
681.242	1.4676		0.079444		
681.483	1.4678		0.07968		
681.724	1.468		0.080044		
681.965	1.4682		0.080555		
682.206	1.4683		0.081193		
682.447	1.4683		0.081906		
682.688	1.4682		0.082621		
682.93	1.4679		0.083274		
683.171	1.4675		0.083816		
683.412	1.4671		0.084225		
683.653	1.4667		0.084509		
683.894	1.4663		0.084689		
684.135	1.4661		0.084792		
