Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/70"
A₁ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.11 μm
A₁ Error Units:	Not Applicable
A₂ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.22 μm
A₂ Error Units:	Not Applicable
A₃ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.43 μm
A₃ Error Units:	Not Applicable
A₄ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.86 μm
A₄ Error Units:	Not Applicable
A₅ Caption:	Absorption spectrum of NH4CN ice with a thickness of 1.73 μm
A₅ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	"A₂"	"DA₂  (+/-)"	"A₃"	"DA₃  (+/-)"	"A₄"	"DA₄  (+/-)"	"A₅"	"DA₅  (+/-)"	
2427.8592	0.00127		-0.00139		0.0068		0.01008		0.01545		
2427.9797	0.00129		-0.00138		0.00683		0.0101		0.01545		
2428.1003	0.0013		-0.00138		0.00684		0.01011		0.01543		
2428.2208	0.00131		-0.00139		0.00685		0.01011		0.01542		
2428.3413	0.0013		-0.0014		0.00686		0.01012		0.01541		
2428.4619	0.00129		-0.00142		0.00686		0.01013		0.0154		
2428.5824	0.00128		-0.00143		0.00686		0.01013		0.01539		
2428.7029	0.00128		-0.00145		0.00686		0.01013		0.01539		
2428.8235	0.00127		-0.00146		0.00686		0.01014		0.0154		
2428.944	0.00127		-0.00147		0.00686		0.01014		0.01541		
2429.0645	0.00127		-0.00148		0.00685		0.01014		0.01543		
2429.1851	0.00126		-0.00147		0.00685		0.01015		0.01546		
2429.3056	0.00126		-0.00146		0.00684		0.01015		0.0155		
2429.4261	0.00126		-0.00143		0.00685		0.01016		0.01554		
2429.5466	0.00126		-0.00141		0.00685		0.01017		0.01558		
2429.6672	0.00127		-0.00138		0.00687		0.01018		0.01561		
2429.7877	0.00128		-0.00136		0.00688		0.0102		0.01564		
2429.9082	0.0013		-0.00134		0.0069		0.01022		0.01564		
2430.0288	0.00131		-0.00133		0.00691		0.01024		0.01565		
2430.1493	0.00133		-0.00133		0.00692		0.01027		0.01565		
2430.2698	0.00134		-0.00133		0.00693		0.01029		0.01565		
2430.3904	0.00135		-0.00133		0.00694		0.01031		0.01566		
2430.5109	0.00136		-0.00132		0.00694		0.01033		0.01568		
2430.6314	0.00136		-0.00132		0.00694		0.01034		0.0157		
2430.752	0.00135		-0.00132		0.00693		0.01034		0.01572		
2430.8725	0.00134		-0.00132		0.00692		0.01034		0.01573		
2430.993	0.00133		-0.00134		0.0069		0.01034		0.01573		
2431.1135	0.00131		-0.00136		0.00688		0.01033		0.01573		
2431.2341	0.00129		-0.00138		0.00686		0.01032		0.01572		
2431.3546	0.00127		-0.0014		0.00684		0.01031		0.01572		
2431.4751	0.00125		-0.00142		0.00684		0.0103		0.01572		
2431.5957	0.00123		-0.00143		0.00683		0.0103		0.01573		
2431.7162	0.00122		-0.00144		0.00684		0.0103		0.01574		
2431.8367	0.00121		-0.00144		0.00685		0.01031		0.01575		
2431.9573	0.00121		-0.00144		0.00686		0.01031		0.01575		
2432.0778	0.00122		-0.00142		0.00687		0.01033		0.01575		
2432.1983	0.00123		-0.0014		0.00688		0.01034		0.01575		
2432.3189	0.00125		-0.00138		0.0069		0.01036		0.01575		
2432.4394	0.00128		-0.00135		0.00691		0.01038		0.01575		
2432.5599	0.0013		-0.00132		0.00693		0.0104		0.01576		
2432.6805	0.00132		-0.0013		0.00694		0.01042		0.01577		
2432.801	0.00133		-0.00129		0.00695		0.01043		0.01578		
2432.9215	0.00134		-0.00129		0.00695		0.01044		0.01578		
2433.042	0.00133		-0.0013		0.00695		0.01044		0.01578		
2433.1626	0.00132		-0.00132		0.00694		0.01044		0.01577		
2433.2831	0.0013		-0.00133		0.00692		0.01044		0.01577		
2433.4036	0.00128		-0.00135		0.00691		0.01044		0.01577		
2433.5242	0.00126		-0.00135		0.00691		0.01044		0.01577		
2433.6447	0.00125		-0.00135		0.00692		0.01044		0.01578		
2433.7652	0.00125		-0.00133		0.00694		0.01044		0.0158		
2433.8858	0.00126		-0.00132		0.00696		0.01045		0.01581		
2434.0063	0.00128		-0.0013		0.00698		0.01046		0.01583		
2434.1268	0.0013		-0.00129		0.007		0.01047		0.01585		
2434.2474	0.00133		-0.00128		0.00702		0.01048		0.01586		
2434.3679	0.00136		-0.00127		0.00704		0.0105		0.01588		
2434.4884	0.00138		-0.00127		0.00705		0.01051		0.0159		
2434.609	0.00139		-0.00127		0.00705		0.01052		0.01592		
2434.7295	0.00139		-0.00128		0.00706		0.01053		0.01594		
2434.85	0.00138		-0.00128		0.00706		0.01053		0.01596		
2434.9705	0.00137		-0.00129		0.00706		0.01053		0.01597		
2435.0911	0.00137		-0.0013		0.00706		0.01053		0.01598		
2435.2116	0.00137		-0.0013		0.00706		0.01054		0.016		
2435.3321	0.00138		-0.0013		0.00706		0.01056		0.01601		
2435.4527	0.00139		-0.00129		0.00707		0.01058		0.01603		
2435.5732	0.00141		-0.00128		0.00707		0.01061		0.01604		
2435.6937	0.00143		-0.00127		0.00708		0.01064		0.01606		
2435.8143	0.00144		-0.00126		0.00708		0.01066		0.01607		
2435.9348	0.00145		-0.00126		0.00709		0.01066		0.01607		
2436.0553	0.00144		-0.00127		0.00709		0.01066		0.01607		
2436.1759	0.00144		-0.00129		0.00709		0.01065		0.01605		
2436.2964	0.00143		-0.00131		0.00709		0.01064		0.01604		
2436.4169	0.00142		-0.00132		0.00709		0.01063		0.01603		
2436.5375	0.00142		-0.00133		0.0071		0.01063		0.01602		
2436.658	0.00142		-0.00133		0.0071		0.01064		0.01602		
2436.7785	0.00141		-0.00132		0.0071		0.01065		0.01602		
